,Fecha,Country/Region,Confirmados,size
81,04/12/2020,Afghanistan,607,6.838433174356668
163,04/12/2020,Albania,446,6.234483180286311
245,04/12/2020,Algeria,1914,9.651228100981319
327,04/12/2020,Andorra,638,6.94138612917164
409,04/12/2020,Angola,19,2.4189454814875875
491,04/12/2020,Antigua and Barbuda,21,2.4926757485402593
573,04/12/2020,Argentina,2142,9.98264989182745
655,04/12/2020,Armenia,1013,7.974121224184773
737,04/12/2020,Australia,6315,13.807403177208766
819,04/12/2020,Austria,13945,17.511588994644292
901,04/12/2020,Azerbaijan,1098,8.16922207124742
983,04/12/2020,Bahamas,46,3.1537506243592963
1065,04/12/2020,Bahrain,1136,8.253031437171096
1147,04/12/2020,Bangladesh,621,6.885373124780216
1229,04/12/2020,Barbados,71,3.592340583264959
1311,04/12/2020,Belarus,2578,10.553217134016178
1393,04/12/2020,Belgium,29647,21.9580730730071
1475,04/12/2020,Belize,14,2.2071833466585673
1557,04/12/2020,Benin,35,2.9054968792442244
1639,04/12/2020,Bhutan,5,1.6206565966927624
1721,04/12/2020,Bolivia,300,5.535238985626912
1803,04/12/2020,Bosnia and Herzegovina,1009,7.964661994428589
1885,04/12/2020,Botswana,13,2.1586538444215795
1967,04/12/2020,Brazil,22192,20.13070261196018
2049,04/12/2020,Brunei,136,4.365778245983073
2131,04/12/2020,Bulgaria,675,7.059779419087613
2213,04/12/2020,Burkina Faso,497,6.440312139634243
2295,04/12/2020,Burma,41,3.046738334899583
2377,04/12/2020,Burundi,5,1.6206565966927624
2459,04/12/2020,Cabo Verde,8,1.8660659830736148
2541,04/12/2020,Cambodia,122,4.2257903711989915
2623,04/12/2020,Cameroon,820,7.484178822330049
2705,04/12/2020,Canada,24298,20.685744601232127
2787,04/12/2020,Central African Republic,8,1.8660659830736148
2869,04/12/2020,Chad,18,2.3800262745964407
2951,04/12/2020,Chile,7213,14.369272460434559
3033,04/12/2020,China,83134,29.91807200912043
3115,04/12/2020,Colombia,2776,10.790109165334067
3197,04/12/2020,Congo (Brazzaville),60,3.4154298923797617
3279,04/12/2020,Congo (Kinshasa),234,5.137652867481977
3361,04/12/2020,Costa Rica,595,6.797591930957855
3443,04/12/2020,Cote d'Ivoire,574,6.724710114416613
3525,04/12/2020,Croatia,1600,9.146101038546526
3607,04/12/2020,Cuba,669,7.040894473813656
3689,04/12/2020,Cyprus,633,6.925021291428946
3771,04/12/2020,Czechia,5991,13.590949409662043
3853,04/12/2020,Denmark,6369,13.842718095793094
3935,04/12/2020,Diamond Princess,712,7.173713004945817
4017,04/12/2020,Djibouti,214,5.001774775270484
4099,04/12/2020,Dominica,16,2.2973967099940698
4181,04/12/2020,Dominican Republic,2967,11.007666516549499
4263,04/12/2020,Ecuador,7466,14.518655342498061
4345,04/12/2020,Egypt,2065,9.87361108839349
4427,04/12/2020,El Salvador,125,4.2566996126039225
4509,04/12/2020,Equatorial Guinea,21,2.4926757485402593
4591,04/12/2020,Eritrea,34,2.8803394661274377
4673,04/12/2020,Estonia,1309,8.611561232110237
4755,04/12/2020,Eswatini,14,2.2071833466585673
4837,04/12/2020,Ethiopia,71,3.592340583264959
4919,04/12/2020,Fiji,16,2.2973967099940698
5001,04/12/2020,Finland,2974,11.015451159975944
5083,04/12/2020,France,133670,34.49929215186746
5165,04/12/2020,Gabon,49,3.2140958497160383
5247,04/12/2020,Gambia,9,1.9331820449317627
5329,04/12/2020,Georgia,257,5.284208398773518
5411,04/12/2020,Germany,127854,34.04193953065034
5493,04/12/2020,Ghana,566,6.696454608704815
5575,04/12/2020,Greece,2114,9.943321799774434
5657,04/12/2020,Grenada,14,2.2071833466585673
5739,04/12/2020,Guatemala,155,4.54045639746107
5821,04/12/2020,Guinea,250,5.240611947344789
5903,04/12/2020,Guinea-Bissau,38,2.978071215719372
5985,04/12/2020,Guyana,45,3.1330242337266654
6067,04/12/2020,Haiti,33,2.854658634732502
6149,04/12/2020,Holy See,8,1.8660659830736148
6231,04/12/2020,Honduras,393,6.002300927072361
6313,04/12/2020,Hungary,1410,8.805737476606602
6395,04/12/2020,Iceland,1701,9.315609907157612
6477,04/12/2020,India,9205,15.459916283412632
6559,04/12/2020,Indonesia,4241,12.25294493361094
6641,04/12/2020,Iran,71686,28.617408597006047
6723,04/12/2020,Iraq,1352,8.69546892681768
6805,04/12/2020,Ireland,9655,15.682875090209222
6887,04/12/2020,Israel,11145,16.372840152632516
6969,04/12/2020,Italy,156363,36.1609805401735
7051,04/12/2020,Jamaica,69,3.561678602815316
7133,04/12/2020,Japan,6748,14.084859598200254
7215,04/12/2020,Jordan,389,5.98390762219458
7297,04/12/2020,Kazakhstan,951,7.824456043197678
7379,04/12/2020,Kenya,197,4.879101668625442
7461,04/12/2020,"Korea, South",10512,16.088131435426092
7543,04/12/2020,Kosovo,283,5.439211303011244
7625,04/12/2020,Kuwait,1234,8.46047113124161
7707,04/12/2020,Kyrgyzstan,377,5.927920969857187
7789,04/12/2020,Laos,19,2.4189454814875875
7871,04/12/2020,Latvia,651,6.983518638280213
7953,04/12/2020,Lebanon,630,6.915158913359216
8035,04/12/2020,Liberia,50,3.233635032886787
8117,04/12/2020,Libya,25,2.626527804403767
8199,04/12/2020,Liechtenstein,79,3.709267269905158
8281,04/12/2020,Lithuania,1053,8.06730564574783
8363,04/12/2020,Luxembourg,3281,11.34493126830148
8445,04/12/2020,MS Zaandam,9,1.9331820449317627
8527,04/12/2020,Madagascar,106,4.051275331573146
8609,04/12/2020,Malawi,13,2.1586538444215795
8691,04/12/2020,Malaysia,4683,12.622844939822679
8773,04/12/2020,Maldives,20,2.4564560522315806
8855,04/12/2020,Mali,105,4.039771395287841
8937,04/12/2020,Malta,378,5.932633775575168
9019,04/12/2020,Mauritania,7,1.792789962520997
9101,04/12/2020,Mauritius,324,5.664525067769412
9183,04/12/2020,Mexico,4219,12.233841727526103
9265,04/12/2020,Moldova,1662,9.251013310676198
9347,04/12/2020,Monaco,93,3.8953356412482822
9429,04/12/2020,Mongolia,16,2.2973967099940698
9511,04/12/2020,Montenegro,272,5.374903497444827
9593,04/12/2020,Morocco,1661,9.249343100903122
9675,04/12/2020,Mozambique,21,2.4926757485402593
9757,04/12/2020,Namibia,16,2.2973967099940698
9839,04/12/2020,Nepal,12,2.107435899344471
9921,04/12/2020,Netherlands,25746,21.04810150481162
10003,04/12/2020,New Zealand,1330,8.652776623439689
10085,04/12/2020,Nicaragua,9,1.9331820449317627
10167,04/12/2020,Niger,529,6.5620071855158555
10249,04/12/2020,Nigeria,323,5.659274461400946
10331,04/12/2020,North Macedonia,828,7.506009349500055
10413,04/12/2020,Norway,6525,13.943575571172596
10495,04/12/2020,Oman,599,6.811269224912828
10577,04/12/2020,Pakistan,5230,13.04819704976096
10659,04/12/2020,Panama,3234,11.295930318469352
10741,04/12/2020,Papua New Guinea,2,1.2311444133449163
10823,04/12/2020,Paraguay,134,4.346417488775679
10905,04/12/2020,Peru,7519,14.54949854574175
10987,04/12/2020,Philippines,4648,12.594468247239046
11069,04/12/2020,Poland,6674,14.038343366452025
11151,04/12/2020,Portugal,16585,18.44652831208825
11233,04/12/2020,Qatar,2979,11.021003770335218
11315,04/12/2020,Romania,6300,13.79755598184679
11397,04/12/2020,Russia,15770,18.16977326850588
11479,04/12/2020,Rwanda,126,4.2668872156327415
11561,04/12/2020,Saint Kitts and Nevis,12,2.107435899344471
11643,04/12/2020,Saint Lucia,15,2.2533433808426553
11725,04/12/2020,Saint Vincent and the Grenadines,12,2.107435899344471
11807,04/12/2020,San Marino,356,5.826865579039132
11889,04/12/2020,Sao Tome and Principe,4,1.515716566510398
11971,04/12/2020,Saudi Arabia,4462,12.44110254617863
12053,04/12/2020,Senegal,280,5.421848890284194
12135,04/12/2020,Serbia,3630,11.694239594086923
12217,04/12/2020,Seychelles,11,2.053136413658844
12299,04/12/2020,Sierra Leone,10,1.9952623149688795
12381,04/12/2020,Singapore,2532,10.496369494856085
12463,04/12/2020,Slovakia,742,7.263085749853261
12545,04/12/2020,Slovenia,1205,8.400325488902501
12627,04/12/2020,Somalia,25,2.626527804403767
12709,04/12/2020,South Africa,2173,10.0257741692557
12791,04/12/2020,South Sudan,4,1.515716566510398
12873,04/12/2020,Spain,166831,36.870839489358026
12955,04/12/2020,Sri Lanka,210,4.973541984499223
13037,04/12/2020,Sudan,19,2.4189454814875875
13119,04/12/2020,Suriname,10,1.9952623149688795
13201,04/12/2020,Sweden,10483,16.074803609903995
13283,04/12/2020,Switzerland,25415,20.96655290029078
13365,04/12/2020,Syria,25,2.626527804403767
13447,04/12/2020,Taiwan*,388,5.9792886251837345
13529,04/12/2020,Tanzania,32,2.82842712474619
13611,04/12/2020,Thailand,2551,10.51993696574779
13693,04/12/2020,Timor-Leste,2,1.2311444133449163
13775,04/12/2020,Togo,76,3.6664357397762077
13857,04/12/2020,Trinidad and Tobago,113,4.129747824285516
13939,04/12/2020,Tunisia,707,7.158562550893559
14021,04/12/2020,Turkey,56956,26.709259303198003
14103,04/12/2020,US,555313,52.88851244944643
14185,04/12/2020,Uganda,54,3.3091627572662095
14267,04/12/2020,Ukraine,2777,10.791275096423968
14349,04/12/2020,United Arab Emirates,4123,12.14965652466502
14431,04/12/2020,United Kingdom,85206,30.139847692824855
14513,04/12/2020,Uruguay,480,6.3734175397426505
14595,04/12/2020,Uzbekistan,865,7.6050983056663455
14677,04/12/2020,Venezuela,181,4.7566760209420424
14759,04/12/2020,Vietnam,262,5.314842355900356
14841,04/12/2020,West Bank and Gaza,290,5.479228338455123
14923,04/12/2020,Western Sahara,6,1.711769859409705
15005,04/12/2020,Yemen,1,1.0
15087,04/12/2020,Zambia,43,3.0905838914967028
15169,04/12/2020,Zimbabwe,14,2.2071833466585673
