,Fecha,Country/Region,Confirmados,size
0,01/22/2020,Afghanistan,0,0.0
1,01/23/2020,Afghanistan,0,0.0
2,01/24/2020,Afghanistan,0,0.0
3,01/25/2020,Afghanistan,0,0.0
4,01/26/2020,Afghanistan,0,0.0
5,01/27/2020,Afghanistan,0,0.0
6,01/28/2020,Afghanistan,0,0.0
7,01/29/2020,Afghanistan,0,0.0
8,01/30/2020,Afghanistan,0,0.0
9,01/31/2020,Afghanistan,0,0.0
10,02/01/2020,Afghanistan,0,0.0
11,02/02/2020,Afghanistan,0,0.0
12,02/03/2020,Afghanistan,0,0.0
13,02/04/2020,Afghanistan,0,0.0
14,02/05/2020,Afghanistan,0,0.0
15,02/06/2020,Afghanistan,0,0.0
16,02/07/2020,Afghanistan,0,0.0
17,02/08/2020,Afghanistan,0,0.0
18,02/09/2020,Afghanistan,0,0.0
19,02/10/2020,Afghanistan,0,0.0
20,02/11/2020,Afghanistan,0,0.0
21,02/12/2020,Afghanistan,0,0.0
22,02/13/2020,Afghanistan,0,0.0
23,02/14/2020,Afghanistan,0,0.0
24,02/15/2020,Afghanistan,0,0.0
25,02/16/2020,Afghanistan,0,0.0
26,02/17/2020,Afghanistan,0,0.0
27,02/18/2020,Afghanistan,0,0.0
28,02/19/2020,Afghanistan,0,0.0
29,02/20/2020,Afghanistan,0,0.0
30,02/21/2020,Afghanistan,0,0.0
31,02/22/2020,Afghanistan,0,0.0
32,02/23/2020,Afghanistan,0,0.0
33,02/24/2020,Afghanistan,1,1.0
34,02/25/2020,Afghanistan,1,1.0
35,02/26/2020,Afghanistan,1,1.0
36,02/27/2020,Afghanistan,1,1.0
37,02/28/2020,Afghanistan,1,1.0
38,02/29/2020,Afghanistan,1,1.0
39,03/01/2020,Afghanistan,1,1.0
40,03/02/2020,Afghanistan,1,1.0
41,03/03/2020,Afghanistan,1,1.0
42,03/04/2020,Afghanistan,1,1.0
43,03/05/2020,Afghanistan,1,1.0
44,03/06/2020,Afghanistan,1,1.0
45,03/07/2020,Afghanistan,1,1.0
46,03/08/2020,Afghanistan,4,1.515716566510398
47,03/09/2020,Afghanistan,4,1.515716566510398
48,03/10/2020,Afghanistan,5,1.6206565966927624
49,03/11/2020,Afghanistan,7,1.792789962520997
50,03/12/2020,Afghanistan,7,1.792789962520997
51,03/13/2020,Afghanistan,7,1.792789962520997
52,03/14/2020,Afghanistan,11,2.053136413658844
53,03/15/2020,Afghanistan,16,2.2973967099940698
54,03/16/2020,Afghanistan,21,2.4926757485402593
55,03/17/2020,Afghanistan,22,2.5277074255111027
56,03/18/2020,Afghanistan,22,2.5277074255111027
57,03/19/2020,Afghanistan,22,2.5277074255111027
58,03/20/2020,Afghanistan,24,2.594557933960465
59,03/21/2020,Afghanistan,24,2.594557933960465
60,03/22/2020,Afghanistan,40,3.0242521453322184
61,03/23/2020,Afghanistan,40,3.0242521453322184
62,03/24/2020,Afghanistan,74,3.6372195430613803
63,03/25/2020,Afghanistan,84,3.7781899270011783
64,03/26/2020,Afghanistan,94,3.9078542362742903
65,03/27/2020,Afghanistan,110,4.096545713663848
66,03/28/2020,Afghanistan,110,4.096545713663848
67,03/29/2020,Afghanistan,120,4.204887431174572
68,03/30/2020,Afghanistan,170,4.668041156493941
69,03/31/2020,Afghanistan,174,4.700724236721369
70,04/01/2020,Afghanistan,237,5.15732504188339
71,04/02/2020,Afghanistan,273,5.38082408748287
72,04/03/2020,Afghanistan,281,5.427650767350815
73,04/04/2020,Afghanistan,299,5.529697276636929
74,04/05/2020,Afghanistan,349,5.792254399362566
75,04/06/2020,Afghanistan,367,5.8803045478208915
76,04/07/2020,Afghanistan,423,6.136236790654628
77,04/08/2020,Afghanistan,444,6.226082785868411
78,04/09/2020,Afghanistan,484,6.389304828983968
79,04/10/2020,Afghanistan,521,6.532077322470661
80,04/11/2020,Afghanistan,555,6.657143137060032
81,04/12/2020,Afghanistan,607,6.838433174356668
82,01/22/2020,Albania,0,0.0
83,01/23/2020,Albania,0,0.0
84,01/24/2020,Albania,0,0.0
85,01/25/2020,Albania,0,0.0
86,01/26/2020,Albania,0,0.0
87,01/27/2020,Albania,0,0.0
88,01/28/2020,Albania,0,0.0
89,01/29/2020,Albania,0,0.0
90,01/30/2020,Albania,0,0.0
91,01/31/2020,Albania,0,0.0
92,02/01/2020,Albania,0,0.0
93,02/02/2020,Albania,0,0.0
94,02/03/2020,Albania,0,0.0
95,02/04/2020,Albania,0,0.0
96,02/05/2020,Albania,0,0.0
97,02/06/2020,Albania,0,0.0
98,02/07/2020,Albania,0,0.0
99,02/08/2020,Albania,0,0.0
100,02/09/2020,Albania,0,0.0
101,02/10/2020,Albania,0,0.0
102,02/11/2020,Albania,0,0.0
103,02/12/2020,Albania,0,0.0
104,02/13/2020,Albania,0,0.0
105,02/14/2020,Albania,0,0.0
106,02/15/2020,Albania,0,0.0
107,02/16/2020,Albania,0,0.0
108,02/17/2020,Albania,0,0.0
109,02/18/2020,Albania,0,0.0
110,02/19/2020,Albania,0,0.0
111,02/20/2020,Albania,0,0.0
112,02/21/2020,Albania,0,0.0
113,02/22/2020,Albania,0,0.0
114,02/23/2020,Albania,0,0.0
115,02/24/2020,Albania,0,0.0
116,02/25/2020,Albania,0,0.0
117,02/26/2020,Albania,0,0.0
118,02/27/2020,Albania,0,0.0
119,02/28/2020,Albania,0,0.0
120,02/29/2020,Albania,0,0.0
121,03/01/2020,Albania,0,0.0
122,03/02/2020,Albania,0,0.0
123,03/03/2020,Albania,0,0.0
124,03/04/2020,Albania,0,0.0
125,03/05/2020,Albania,0,0.0
126,03/06/2020,Albania,0,0.0
127,03/07/2020,Albania,0,0.0
128,03/08/2020,Albania,0,0.0
129,03/09/2020,Albania,2,1.2311444133449163
130,03/10/2020,Albania,10,1.9952623149688795
131,03/11/2020,Albania,12,2.107435899344471
132,03/12/2020,Albania,23,2.5616415021458128
133,03/13/2020,Albania,33,2.854658634732502
134,03/14/2020,Albania,38,2.978071215719372
135,03/15/2020,Albania,42,3.068843822095698
136,03/16/2020,Albania,51,3.2529025491464565
137,03/17/2020,Albania,55,3.327429072706326
138,03/18/2020,Albania,59,3.3982521746716885
139,03/19/2020,Albania,64,3.4822022531844965
140,03/20/2020,Albania,70,3.5770862508726156
141,03/21/2020,Albania,76,3.6664357397762077
142,03/22/2020,Albania,89,3.8442976132762077
143,03/23/2020,Albania,104,4.028190508306193
144,03/24/2020,Albania,123,4.236151985630706
145,03/25/2020,Albania,146,4.459702173287629
146,03/26/2020,Albania,174,4.700724236721369
147,03/27/2020,Albania,186,4.795720712826159
148,03/28/2020,Albania,197,4.879101668625442
149,03/29/2020,Albania,212,4.987704991388352
150,03/30/2020,Albania,223,5.063973903230201
151,03/31/2020,Albania,243,5.196152422706631
152,04/01/2020,Albania,259,5.296511617649519
153,04/02/2020,Albania,277,5.404355766531817
154,04/03/2020,Albania,304,5.557277390824605
155,04/04/2020,Albania,333,5.711277603102162
156,04/05/2020,Albania,361,5.851297242409216
